tid,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1088,2200,Survival Stout,American Stout,16.0 oz.,0.057999999999999996%,35.0,80,Hopworks Urban Brewery,Portland OR,
121,409,Oaky's Oatmeal Stout,Oatmeal Stout,16.0 oz.,0.047%,N/A,542,Angry Minnow Brewing Company,Hayward WI,
1287,1231,There Will Be Stout,American Stout,12.0 oz.,0.065%,N/A,161,Martin House Brewing Company,Fort Worth TX,
1288,1831,Our Legacy IPA,American IPA,12.0 oz.,0.065%,60.0,299,Matt Brewing Company,Utica NY,
1430,1537,Undun Blonde Ale,American Blonde Ale,16.0 oz.,0.053%,N/A,387,Natian Brewery,Portland OR,
1587,787,Old Chub (2008),Scottish Ale,12.0 oz.,0.08%,35.0,503,Oskar Blues Brewery,Lyons CO,
1591,744,Dale's Pale Ale (2006),American Pale Ale (APA),12.0 oz.,0.065%,65.0,503,Oskar Blues Brewery,Lyons CO,
1670,1463,Hideout Helles,Munich Helles Lager,12.0 oz.,0.069%,17.0,135,Pug Ryan's Brewery,Dillon CO,
1691,938,Gangway IPA,American IPA,12.0 oz.,0.062%,55.0,475,Red Hare Brewing Company,Marietta GA,
1735,1851,Cougar,American Blonde Ale,12.0 oz.,0.048%,25.0,93,Rhinegeist Brewery,Cincinnati OH,
1831,918,Frankenlou's IPA,American IPA,16.0 oz.,0.07%,105.0,494,Seven Brides Brewery,Silverton OR,
2132,2155,Smittytown,Extra Special / Strong Bitter (ESB),12.0 oz.,0.048%,N/A,210,Temperance Beer Company,Evanston IL,
2204,736,Ornery Amber Lager (2003),Vienna Lager,12.0 oz.,0.055%,33.0,291,Tommyknocker Brewery,Idaho Springs CO,
230,1261,Bent Paddle Black Ale,American Black Ale,12.0 oz.,0.06%,34.0,75,Bent Paddle Brewing Company,Duluth MN,
386,2619,Insert Hop Reference,American Pale Ale (APA),16.0 oz.,0.057999999999999996%,N/A,19,Brew Link Brewing,Plainfield IN,
451,1095,Orange Grove Wheat Ale,American Pale Wheat Ale,12.0 oz.,,N/A,467,Brindle Dog Brewing Company,Tampa Bay FL,
588,2016,Englishman,English Brown Ale,16.0 oz.,0.045%,N/A,250,Chapman's Brewing,Angola IN,
836,2322,Fort Pitt Ale,American Amber / Red Ale,12.0 oz.,,N/A,151,Fort Pitt Brewing Company,Latrobe PA,
1005,1134,Pony Pilsner,German Pilsener,16.0 oz.,0.057%,N/A,327,Half Acre Beer Company,Chicago,IL
1021,1380,Harpoon Summer Beer,Kölsch,12.0 oz.,0.05%,28.0,234,Harpoon Brewery,Boston,MA
1023,1340,UFO Pumpkin,Pumpkin Ale,12.0 oz.,0.059000000000000004%,20.0,234,Harpoon Brewery,Boston,MA
103,1738,"the Kimmie, the Yink and the Holy Gose",Gose,12.0 oz.,0.048%,N/A,171,Anderson Valley Brewing Company,Boonville,CA
1031,181,Beltian White,Witbier,12.0 oz.,0.048%,N/A,535,Harvest Moon Brewing Company,Belt,MT
1034,2181,Hapa Brown Ale,American Brown Ale,19.2 oz.,0.064%,N/A,204,Hawai'i Nui Brewing Co.,Hilo,HI
1049,616,Oregon Trail Unfiltered Raspberry Wheat,Fruit / Vegetable Beer,12.0 oz.,0.045%,N/A,500,High Noon Saloon And Brewery,Leavenworth,KS
1052,889,Hilliard's Pils,Czech Pilsener,16.0 oz.,0.055%,34.0,362,Hilliard's Beer,Seattle,WA
1061,1605,Festeroo Winter Ale,American Strong Ale,12.0 oz.,0.078%,60.0,198,Hop Valley Brewing Company,Springfield,OR
108,1326,Boont Amber Ale,American Amber / Red Ale,12.0 oz.,0.057999999999999996%,15.0,171,Anderson Valley Brewing Company,Boonville,CA
1089,2199,Hopworks IPA,American IPA,16.0 oz.,0.066%,75.0,80,Hopworks Urban Brewery,Portland,OR
1090,2193,Abominable Winter Ale,American Strong Ale,16.0 oz.,0.073%,70.0,80,Hopworks Urban Brewery,Portland,OR
1096,2385,Watermelon Wheat,American Pale Wheat Ale,12.0 oz.,0.055999999999999994%,N/A,120,Horny Goat Brew Pub,Milwaukee,WI
1099,1251,Trail Maker Pale Ale,American Pale Ale (APA),12.0 oz.,0.065%,N/A,445,Howard Brewing Company,Lenoir,NC
111,811,Boont Amber Ale (2010),American Amber / Red Ale,12.0 oz.,0.057999999999999996%,15.0,171,Anderson Valley Brewing Company,Boonville,CA
1112,1774,Hijack,Cream Ale,12.0 oz.,0.055%,20.0,242,Infamous Brewing Company,Austin,TX
1113,559,Jon Boat Coastal Ale,American Blonde Ale,12.0 oz.,0.045%,20.0,527,Intuition Ale Works,Jacksonville,FL
1125,1793,Thunder Ann,American Pale Ale (APA),12.0 oz.,0.055%,37.0,312,Jackalope Brewing Company,Nashville,TN
1128,689,Mystic Mama IPA,American IPA,12.0 oz.,0.07%,N/A,92,Jackie O's Pub & Brewery,Athens,OH
1131,2408,Welcome to Scoville,American IPA,12.0 oz.,0.069%,N/A,114,Jailbreak Brewing Company,Laurel,MD
1144,2374,Weisse Versa (2012),Hefeweizen,12.0 oz.,0.052000000000000005%,16.0,125,Karbach Brewing Company,Houston,TX
1145,1560,Mother in Lager,Munich Dunkel Lager,12.0 oz.,0.057999999999999996%,25.0,125,Karbach Brewing Company,Houston,TX
1151,465,Sympathy for the Lager,American Amber / Red Lager,12.0 oz.,0.049%,45.0,125,Karbach Brewing Company,Houston,TX
1161,760,Cold Smoke Scotch Ale (2007),Scotch Ale / Wee Heavy,16.0 oz.,0.065%,11.0,510,Kettle House Brewing Company,Missoula,MT
1167,2472,U. P. Witbier,Witbier,12.0 oz.,,N/A,84,Keweenaw Brewing Company,Houghton,MI
1168,779,November Gale Pale Ale,American Pale Ale (APA),12.0 oz.,,N/A,84,Keweenaw Brewing Company,Houghton,MI
1181,1274,Longboard Island Lager,American Amber / Red Lager,24.0 oz.,0.046%,18.0,439,Kona Brewing Company,Kona,HI
1185,781,Choc Beer (2003),American Dark Wheat Ale,12.0 oz.,0.04%,9.0,505,Krebs Brewing Company (Pete's Pl...,Krebs,OK
1189,392,Rumspringa Golden Bock,Maibock / Helles Bock,12.0 oz.,0.066%,30.0,545,Lancaster Brewing Company,Lancaster,PA
1226,2581,Lost Galaxy,American IPA,16.0 oz.,0.045%,N/A,41,Lost Nation Brewing,East Fairfield,VT
123,1293,Angry Orchard Crisp Apple,Cider,16.0 oz.,0.05%,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
